SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,2/28/2022 12:00:00 AM,86.45
01M015,P.S. 015 ROBERTO CLEMENTE,2/28/2022 12:00:00 AM,88.26
01M019,P.S. 019 ASHER LEVY,2/28/2022 12:00:00 AM,85.71
01M020,P.S. 020 ANNA SILVER,2/28/2022 12:00:00 AM,86.98
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,2/28/2022 12:00:00 AM,77.18
01M063,THE STAR ACADEMY   P.S.63,2/28/2022 12:00:00 AM,89.67
01M064,P.S. 064 ROBERT SIMON,2/28/2022 12:00:00 AM,80.09
01M110,P.S. 110 FLORENCE NIGHTINGALE,2/28/2022 12:00:00 AM,89.24
01M134,P.S. 134 HENRIETTA SZOLD,2/28/2022 12:00:00 AM,85.24
01M140,P.S. 140 NATHAN STRAUS,2/28/2022 12:00:00 AM,78.50
01M142,P.S. 142 AMALIA CASTRO,2/28/2022 12:00:00 AM,87.98
01M184,P.S. 184M SHUANG WEN,2/28/2022 12:00:00 AM,95.27
01M188,P.S. 188 THE ISLAND SCHOOL,2/28/2022 12:00:00 AM,82.00
01M292,ORCHARD COLLEGIATE ACADEMY,2/28/2022 12:00:00 AM,75.88
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,2/28/2022 12:00:00 AM,87.37
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,2/28/2022 12:00:00 AM,86.91
01M361,THE CHILDREN S WORKSHOP SCHOOL,2/28/2022 12:00:00 AM,88.36
01M363,NEIGHBORHOOD SCHOOL,2/28/2022 12:00:00 AM,88.16
01M364,EARTH SCHOOL,2/28/2022 12:00:00 AM,88.23
01M378,SCHOOL FOR GLOBAL LEADERS,2/28/2022 12:00:00 AM,92.89
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2/28/2022 12:00:00 AM,79.88
01M450,EAST SIDE COMMUNITY SCHOOL,2/28/2022 12:00:00 AM,99.85
01M458,FORSYTH SATELLITE ACADEMY,2/28/2022 12:00:00 AM,47.32
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2/28/2022 12:00:00 AM,64.80
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",2/28/2022 12:00:00 AM,92.38
01M650,CASCADES HIGH SCHOOL,2/28/2022 12:00:00 AM,33.87
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2/28/2022 12:00:00 AM,85.59
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,2/28/2022 12:00:00 AM,93.88
02M001,P.S. 001 ALFRED E. SMITH,2/28/2022 12:00:00 AM,86.79
02M002,P.S. 002 MEYER LONDON,2/28/2022 12:00:00 AM,92.15
02M003,P.S. 003 CHARRETTE SCHOOL,2/28/2022 12:00:00 AM,88.52
02M006,P.S. 006 LILLIE D. BLAKE,2/28/2022 12:00:00 AM,89.25
02M011,P.S. 011 WILLIAM T. HARRIS,2/28/2022 12:00:00 AM,91.14
02M033,P.S. 033 CHELSEA PREP,2/28/2022 12:00:00 AM,89.68
02M040,P.S. 040 AUGUSTUS SAINT GAUDENS,2/28/2022 12:00:00 AM,92.30
02M041,P.S. 041 GREENWICH VILLAGE,2/28/2022 12:00:00 AM,86.78
02M042,P.S. 042 BENJAMIN ALTMAN,2/28/2022 12:00:00 AM,94.42
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,2/28/2022 12:00:00 AM,81.54
02M051,P.S. 051 ELIAS HOWE,2/28/2022 12:00:00 AM,90.73
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,2/28/2022 12:00:00 AM,86.65
02M077,P.S. 77 LOWER LAB SCHOOL,2/28/2022 12:00:00 AM,93.64
02M089,P.S. 89,2/28/2022 12:00:00 AM,89.67
02M104,J.H.S. 104 SIMON BARUCH,2/28/2022 12:00:00 AM,92.83
02M111,P.S. 111 ADOLPH S. OCHS,2/28/2022 12:00:00 AM,87.57
02M114,EAST SIDE MIDDLE SCHOOL,2/28/2022 12:00:00 AM,96.17
02M116,P.S. 116 MARY LINDLEY MURRAY,2/28/2022 12:00:00 AM,88.45
02M124,P.S. 124 YUNG WING,2/28/2022 12:00:00 AM,97.96
02M126,P.S. 126 JACOB AUGUST RIIS,2/28/2022 12:00:00 AM,94.63
02M130,P.S. 130 HERNANDO DE SOTO,2/28/2022 12:00:00 AM,97.50
02M131,M.S. 131,2/28/2022 12:00:00 AM,95.55
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,2/28/2022 12:00:00 AM,82.10
02M139,STEPHEN T. MATHER BUILDING ARTS   CRAFTSMANSHIP HI,2/28/2022 12:00:00 AM,75.12
02M150,P.S. 150,2/28/2022 12:00:00 AM,NS
02M151,YORKVILLE COMMUNITY SCHOOL,2/28/2022 12:00:00 AM,89.92
02M158,P.S. 158 BAYARD TAYLOR,2/28/2022 12:00:00 AM,91.56
02M167,J.H.S. 167 ROBERT F. WAGNER,2/28/2022 12:00:00 AM,90.43
02M177,YORKVILLE EAST MIDDLE SCHOOL,2/28/2022 12:00:00 AM,NS
02M183,P.S. 183 ROBERT L. STEVENSON,2/28/2022 12:00:00 AM,92.94
02M198,P.S. 198 ISADOR E. IDA STRAUS,2/28/2022 12:00:00 AM,90.80
02M212,P.S. 212 MIDTOWN WEST,2/28/2022 12:00:00 AM,89.54
02M217,P.S. I.S. 217 ROOSEVELT ISLAND,2/28/2022 12:00:00 AM,90.44
02M225,ELLA BAKER SCHOOL,2/28/2022 12:00:00 AM,83.80
02M234,P.S. 234 INDEPENDENCE SCHOOL,2/28/2022 12:00:00 AM,88.74
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,2/28/2022 12:00:00 AM,93.76
02M260,THE CLINTON SCHOOL,2/28/2022 12:00:00 AM,91.25
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",2/28/2022 12:00:00 AM,89.68
02M276,BATTERY PARK CITY SCHOOL,2/28/2022 12:00:00 AM,91.16
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,2/28/2022 12:00:00 AM,100.00
02M281,THE RIVER SCHOOL,2/28/2022 12:00:00 AM,91.59
02M282,URBAN ASSEMBLY MAKER ACADEMY,2/28/2022 12:00:00 AM,77.25
02M288,FOOD AND FINANCE HIGH SCHOOL,2/28/2022 12:00:00 AM,65.63
02M289,I.S. 289,2/28/2022 12:00:00 AM,94.44
02M290,P.S. 290 MANHATTAN NEW SCHOOL,2/28/2022 12:00:00 AM,91.80
02M294,ESSEX STREET ACADEMY,2/28/2022 12:00:00 AM,NS
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2/28/2022 12:00:00 AM,69.39
02M297,M.S. 297,2/28/2022 12:00:00 AM,90.93
02M298,PACE HIGH SCHOOL,2/28/2022 12:00:00 AM,76.47
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",2/28/2022 12:00:00 AM,81.55
02M303,"FACING HISTORY SCHOOL, THE",2/28/2022 12:00:00 AM,71.81
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",2/28/2022 12:00:00 AM,74.31
02M308,LOWER MANHATTAN ARTS ACADEMY,2/28/2022 12:00:00 AM,58.87
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,2/28/2022 12:00:00 AM,97.93
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",2/28/2022 12:00:00 AM,46.20
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",2/28/2022 12:00:00 AM,63.96
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,2/28/2022 12:00:00 AM,86.64
02M343,THE PECK SLIP SCHOOL,2/28/2022 12:00:00 AM,88.28
02M347,THE 47 AMERICAN SIGN LANGUAGE   ENGLISH LOWER SCHO,2/28/2022 12:00:00 AM,83.51
02M374,GRAMERCY ARTS HIGH SCHOOL,2/28/2022 12:00:00 AM,78.57
02M376,NYC ISCHOOL,2/28/2022 12:00:00 AM,90.96
02M391,DISTRICT 2 PRE K CENTER,2/28/2022 12:00:00 AM,87.61
02M392,MANHATTAN BUSINESS ACADEMY,2/28/2022 12:00:00 AM,80.25
02M393,BUSINESS OF SPORTS SCHOOL,2/28/2022 12:00:00 AM,77.36
02M394,EMMA LAZARUS HIGH SCHOOL,2/28/2022 12:00:00 AM,88.76
02M397,SPRUCE STREET SCHOOL,2/28/2022 12:00:00 AM,88.83
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2/28/2022 12:00:00 AM,NS
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2/28/2022 12:00:00 AM,NS
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2/28/2022 12:00:00 AM,90.04
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2/28/2022 12:00:00 AM,80.14
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2/28/2022 12:00:00 AM,95.61
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2/28/2022 12:00:00 AM,92.60
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2/28/2022 12:00:00 AM,92.75
02M414,N.Y.C. MUSEUM SCHOOL,2/28/2022 12:00:00 AM,91.03
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2/28/2022 12:00:00 AM,93.86
02M418,MILLENNIUM HIGH SCHOOL,2/28/2022 12:00:00 AM,NS
02M419,LANDMARK HIGH SCHOOL,2/28/2022 12:00:00 AM,NS
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,2/28/2022 12:00:00 AM,79.95
02M422,QUEST TO LEARN,2/28/2022 12:00:00 AM,79.85
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,2/28/2022 12:00:00 AM,75.09
02M427,MANHATTAN ACADEMY FOR ARTS   LANGUAGE,2/28/2022 12:00:00 AM,95.02
02M432,MURRAY HILL ACADEMY,2/28/2022 12:00:00 AM,75.81
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,2/28/2022 12:00:00 AM,75.00
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2/28/2022 12:00:00 AM,83.12
02M439,MANHATTAN VILLAGE ACADEMY,2/28/2022 12:00:00 AM,91.68
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2/28/2022 12:00:00 AM,93.60
02M449,VANGUARD HIGH SCHOOL,2/28/2022 12:00:00 AM,71.60
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2/28/2022 12:00:00 AM,86.29
02M475,STUYVESANT HIGH SCHOOL,2/28/2022 12:00:00 AM,96.43
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2/28/2022 12:00:00 AM,82.63
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2/28/2022 12:00:00 AM,67.09
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,2/28/2022 12:00:00 AM,82.20
02M519,TALENT UNLIMITED HIGH SCHOOL,2/28/2022 12:00:00 AM,86.84
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2/28/2022 12:00:00 AM,75.43
02M527,P.S. 527   EAST SIDE SCHOOL FOR SOCIAL ACTION,2/28/2022 12:00:00 AM,93.18
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,2/28/2022 12:00:00 AM,72.58
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2/28/2022 12:00:00 AM,89.27
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,2/28/2022 12:00:00 AM,66.43
02M534,HARVEST COLLEGIATE HIGH SCHOOL,2/28/2022 12:00:00 AM,72.15
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2/28/2022 12:00:00 AM,86.91
02M543,NEW DESIGN HIGH SCHOOL,2/28/2022 12:00:00 AM,81.72
02M544,INDEPENDENCE HIGH SCHOOL,2/28/2022 12:00:00 AM,28.34
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2/28/2022 12:00:00 AM,97.05
02M546,ACADEMY FOR SOFTWARE ENGINEERING,2/28/2022 12:00:00 AM,79.90
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2/28/2022 12:00:00 AM,80.00
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,2/28/2022 12:00:00 AM,83.36
02M560,HIGH SCHOOL M560   CITY AS SCHOOL,2/28/2022 12:00:00 AM,15.21
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,2/28/2022 12:00:00 AM,86.18
02M570,SATELLITE ACADEMY HIGH SCHOOL,2/28/2022 12:00:00 AM,30.45
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2/28/2022 12:00:00 AM,NS
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,2/28/2022 12:00:00 AM,80.93
02M586,HARVEY MILK HIGH SCHOOL,2/28/2022 12:00:00 AM,60.00
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2/28/2022 12:00:00 AM,80.64
02M605,HUMANITIES PREPARATORY ACADEMY,2/28/2022 12:00:00 AM,87.10
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2/28/2022 12:00:00 AM,68.47
02M630,ART AND DESIGN HIGH SCHOOL,2/28/2022 12:00:00 AM,86.64
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,2/28/2022 12:00:00 AM,75.61
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2/28/2022 12:00:00 AM,94.46
02M933,CITY KNOLL MIDDLE SCHOOL,2/28/2022 12:00:00 AM,80.50
03M009,P.S. 009 SARAH ANDERSON,2/28/2022 12:00:00 AM,92.58
03M054,J.H.S. 054 BOOKER T. WASHINGTON,2/28/2022 12:00:00 AM,92.05
03M075,P.S. 075 EMILY DICKINSON,2/28/2022 12:00:00 AM,86.16
03M076,P.S. 076 A. PHILIP RANDOLPH,2/28/2022 12:00:00 AM,79.73
03M084,P.S. 084 LILLIAN WEBER,2/28/2022 12:00:00 AM,89.17
03M087,P.S. 087 WILLIAM SHERMAN,2/28/2022 12:00:00 AM,87.73
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",2/28/2022 12:00:00 AM,80.05
03M149,P.S. 149 SOJOURNER TRUTH,2/28/2022 12:00:00 AM,79.00
03M163,P.S. 163 ALFRED E. SMITH,2/28/2022 12:00:00 AM,85.19
03M165,P.S. 165 ROBERT E. SIMON,2/28/2022 12:00:00 AM,87.82
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,2/28/2022 12:00:00 AM,90.11
03M180,P.S. 180 HUGO NEWMAN,2/28/2022 12:00:00 AM,86.18
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,2/28/2022 12:00:00 AM,85.41
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,2/28/2022 12:00:00 AM,81.37
03M199,P.S. 199 JESSIE ISADOR STRAUS,2/28/2022 12:00:00 AM,93.27
03M241,STEM INSTITUTE OF MANHATTAN,2/28/2022 12:00:00 AM,89.47
03M242,P.S. 242   THE YOUNG DIPLOMATS MAGNET ACADEMY,2/28/2022 12:00:00 AM,79.38
03M243,M.S. 243 CENTER SCHOOL,2/28/2022 12:00:00 AM,93.70
03M245,M.S. M245 THE COMPUTER SCHOOL,2/28/2022 12:00:00 AM,92.09
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,2/28/2022 12:00:00 AM,88.88
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,2/28/2022 12:00:00 AM,84.94
03M256,LAFAYETTE ACADEMY,2/28/2022 12:00:00 AM,90.19
03M258,COMMUNITY ACTION SCHOOL   MS 258,2/28/2022 12:00:00 AM,88.37
03M291,WEST END SECONDARY SCHOOL,2/28/2022 12:00:00 AM,89.20
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,2/28/2022 12:00:00 AM,82.90
