SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/16/2022 12:00:00 AM,84.17
24Q307,PIONEER ACADEMY,6/16/2022 12:00:00 AM,89.51
24Q311,CORONA ARTS   SCIENCES ACADEMY,6/16/2022 12:00:00 AM,86.50
24Q330,HELEN M. MARSHALL SCHOOL,6/16/2022 12:00:00 AM,85.24
24Q331,MOSAIC PRE K CENTER,6/16/2022 12:00:00 AM,79.19
24Q343,THE CHILDREN S LAB SCHOOL,6/16/2022 12:00:00 AM,92.82
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AN",6/16/2022 12:00:00 AM,96.81
25Q020,P.S. 020 JOHN BOWNE,6/16/2022 12:00:00 AM,90.67
25Q021,P.S. 021 EDWARD HART,6/16/2022 12:00:00 AM,91.52
25Q022,P.S. 022 THOMAS JEFFERSON,6/16/2022 12:00:00 AM,93.10
25Q024,P.S. 024 ANDREW JACKSON,6/16/2022 12:00:00 AM,95.04
25Q025,I.S. 025 ADRIEN BLOCK,6/16/2022 12:00:00 AM,94.53
25Q029,P.S. 029 QUEENS,6/16/2022 12:00:00 AM,88.33
25Q032,P.S. 032 STATE STREET,6/16/2022 12:00:00 AM,95.87
25Q079,P.S. 079 FRANCIS LEWIS,6/16/2022 12:00:00 AM,94.59
25Q107,P.S. 107 THOMAS A DOOLEY,6/16/2022 12:00:00 AM,90.05
25Q120,P.S. 120 QUEENS,6/16/2022 12:00:00 AM,94.15
25Q129,P.S. 129 PATRICIA LARKIN,6/16/2022 12:00:00 AM,87.24
25Q130,P.S. 130,6/16/2022 12:00:00 AM,92.82
25Q154,P.S. 154 QUEENS,6/16/2022 12:00:00 AM,88.58
25Q163,P.S. 163 FLUSHING HEIGHTS,6/16/2022 12:00:00 AM,94.97
25Q164,P.S. 164 QUEENS VALLEY,6/16/2022 12:00:00 AM,90.45
25Q165,P.S. 165 EDITH K. BERGTRAUM,6/16/2022 12:00:00 AM,86.64
25Q169,P.S. 169 BAY TERRACE,6/16/2022 12:00:00 AM,92.79
25Q184,P.S. 184 FLUSHING MANOR,6/16/2022 12:00:00 AM,96.55
25Q185,J.H.S. 185 EDWARD BLEEKER,6/16/2022 12:00:00 AM,89.76
25Q189,J.H.S. 189 DANIEL CARTER BEARD,6/16/2022 12:00:00 AM,92.91
25Q193,P.S. 193 ALFRED J. KENNEDY,6/16/2022 12:00:00 AM,92.03
25Q194,J.H.S. 194 WILLIAM CARR,6/16/2022 12:00:00 AM,88.72
25Q200,P.S. M.S. 200   THE MAGNET SCHOOL OF GLOBAL STUDIE,6/16/2022 12:00:00 AM,88.06
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESE,6/16/2022 12:00:00 AM,87.55
25Q209,P.S. 209 CLEARVIEW GARDENS,6/16/2022 12:00:00 AM,94.54
25Q214,P.S. 214 CADWALLADER COLDEN,6/16/2022 12:00:00 AM,88.04
25Q219,P.S. 219 PAUL KLAPPER,6/16/2022 12:00:00 AM,91.42
25Q237,I.S. 237,6/16/2022 12:00:00 AM,92.53
25Q242,P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOO,6/16/2022 12:00:00 AM,92.58
25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,95.98
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SC,6/16/2022 12:00:00 AM,84.54
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",6/16/2022 12:00:00 AM,89.86
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIES,6/16/2022 12:00:00 AM,92.92
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,6/16/2022 12:00:00 AM,89.44
25Q294,BELL ACADEMY,6/16/2022 12:00:00 AM,92.81
25Q379,COLLEGE POINT COLLABORATIVE,6/16/2022 12:00:00 AM,89.89
25Q409,DISTRICT 25 PRE K CENTER,6/16/2022 12:00:00 AM,59.90
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TE",6/16/2022 12:00:00 AM,94.85
26Q018,P.S. 018 WINCHESTER,6/16/2022 12:00:00 AM,94.18
26Q026,P.S. 026 RUFUS KING,6/16/2022 12:00:00 AM,87.84
26Q031,P.S. 031 BAYSIDE,6/16/2022 12:00:00 AM,95.38
26Q041,P.S. 041 CROCHERON,6/16/2022 12:00:00 AM,93.28
26Q046,P.S. 046 ALLEY POND,6/16/2022 12:00:00 AM,94.38
26Q067,J.H.S. 067 LOUIS PASTEUR,6/16/2022 12:00:00 AM,95.67
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,6/16/2022 12:00:00 AM,92.68
26Q094,P.S. 094 DAVID D. PORTER,6/16/2022 12:00:00 AM,95.59
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,6/16/2022 12:00:00 AM,93.96
26Q115,THE JAMES J. AMBROSE SCHOOL,6/16/2022 12:00:00 AM,91.29
26Q133,P.S. 133 QUEENS,6/16/2022 12:00:00 AM,92.19
26Q158,M.S. 158 MARIE CURIE,6/16/2022 12:00:00 AM,92.43
26Q159,P.S. 159,6/16/2022 12:00:00 AM,94.34
26Q162,P.S. 162 JOHN GOLDEN,6/16/2022 12:00:00 AM,94.89
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,6/16/2022 12:00:00 AM,91.28
26Q173,P.S. 173 FRESH MEADOWS,6/16/2022 12:00:00 AM,90.48
26Q178,P.S.  IS 178 HOLLISWOOD,6/16/2022 12:00:00 AM,88.75
26Q186,P.S. 186 CASTLEWOOD,6/16/2022 12:00:00 AM,90.51
26Q188,P.S. 188 KINGSBURY,6/16/2022 12:00:00 AM,96.68
26Q191,P.S. 191 MAYFLOWER,6/16/2022 12:00:00 AM,89.31
26Q203,P.S. 203 OAKLAND GARDENS,6/16/2022 12:00:00 AM,96.13
26Q205,P.S. 205 ALEXANDER GRAHAM BELL,6/16/2022 12:00:00 AM,93.43
26Q213,P.S. 213 THE CARL ULLMAN SCHOOL,6/16/2022 12:00:00 AM,95.83
26Q216,J.H.S. 216 GEORGE J. RYAN,6/16/2022 12:00:00 AM,90.51
26Q221,P.S. 221 THE NORTH HILLS SCHOOL,6/16/2022 12:00:00 AM,90.69
26Q266,P.S. I.S. 266,6/16/2022 12:00:00 AM,89.71
26Q376,P.S. 376,6/16/2022 12:00:00 AM,87.23
26Q390,THE CIVIC SCHOOL OF BAYSIDE HILLS,6/16/2022 12:00:00 AM,92.20
27Q042,P.S. M.S 042 R. VERNAM,6/16/2022 12:00:00 AM,71.81
27Q043,P.S. 043,6/16/2022 12:00:00 AM,69.45
27Q045,P.S. 045 CLARENCE WITHERSPOON,6/16/2022 12:00:00 AM,76.00
27Q047,P.S. 047 CHRIS GALAS,6/16/2022 12:00:00 AM,84.98
27Q051,P.S. 051,6/16/2022 12:00:00 AM,83.15
27Q053,M.S. 053 BRIAN PICCOLO,6/16/2022 12:00:00 AM,71.86
27Q056,P.S. 056 HARRY EICHLER,6/16/2022 12:00:00 AM,83.76
27Q060,P.S. 060 WOODHAVEN,6/16/2022 12:00:00 AM,84.44
27Q062,P. S. 62   CHESTER PARK SCHOOL,6/16/2022 12:00:00 AM,83.57
27Q063,P.S. 063 OLD SOUTH,6/16/2022 12:00:00 AM,82.55
27Q064,P.S. 064 JOSEPH P. ADDABBO,6/16/2022 12:00:00 AM,81.89
27Q065,P.S. 65   THE RAYMOND YORK ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,77.35
27Q066,P.S. 066 JACQUELINE KENNEDY ONASSIS,6/16/2022 12:00:00 AM,87.31
27Q090,P.S. 090 HORACE MANN,6/16/2022 12:00:00 AM,86.81
27Q096,P.S. 096,6/16/2022 12:00:00 AM,86.33
27Q097,P.S. 097 FOREST PARK,6/16/2022 12:00:00 AM,88.48
27Q100,P.S. 100 GLEN MORRIS,6/16/2022 12:00:00 AM,83.62
27Q104,P.S. 104 THE BAYS WATER,6/16/2022 12:00:00 AM,83.85
27Q105,P.S. 105 THE BAY SCHOOL,6/16/2022 12:00:00 AM,69.86
27Q106,LIGHTHOUSE ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,65.10
27Q108,P.S. 108 CAPTAIN VINCENT G. FOWLER,6/16/2022 12:00:00 AM,87.23
27Q114,P.S. M.S. 114 BELLE HARBOR,6/16/2022 12:00:00 AM,93.22
27Q123,P.S. 123,6/16/2022 12:00:00 AM,84.07
27Q124,P.S. 124 OSMOND A CHURCH,6/16/2022 12:00:00 AM,86.86
27Q137,M.S. 137 AMERICA S SCHOOL OF HEROES,6/16/2022 12:00:00 AM,85.79
27Q146,P.S. 146 HOWARD BEACH,6/16/2022 12:00:00 AM,86.74
27Q155,P.S. 155,6/16/2022 12:00:00 AM,86.27
27Q183,P.S. 183 DR. RICHARD R. GREEN,6/16/2022 12:00:00 AM,71.23
27Q197,P.S. 197 THE OCEAN SCHOOL,6/16/2022 12:00:00 AM,74.27
27Q202,J.H.S. 202 ROBERT H. GODDARD,6/16/2022 12:00:00 AM,71.68
27Q207,P.S. 207 ROCKWOOD PARK,6/16/2022 12:00:00 AM,90.61
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,6/16/2022 12:00:00 AM,84.79
27Q223,P.S. 223 LYNDON B. JOHNSON,6/16/2022 12:00:00 AM,77.87
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,6/16/2022 12:00:00 AM,82.47
27Q232,P.S. 232 LINDENWOOD,6/16/2022 12:00:00 AM,83.68
27Q253,P.S. 253,6/16/2022 12:00:00 AM,76.36
27Q254,P.S. 254   THE ROSA PARKS SCHOOL,6/16/2022 12:00:00 AM,81.76
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,6/16/2022 12:00:00 AM,90.06
27Q273,P.S. 273,6/16/2022 12:00:00 AM,87.14
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,6/16/2022 12:00:00 AM,95.76
27Q297,HAWTREE CREEK MIDDLE SCHOOL,6/16/2022 12:00:00 AM,87.50
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,6/16/2022 12:00:00 AM,79.88
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,6/16/2022 12:00:00 AM,70.77
27Q316,QUEENS EXPLORERS ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,77.72
27Q317,WATERSIDE CHILDREN S STUDIO SCHOOL,6/16/2022 12:00:00 AM,89.32
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,6/16/2022 12:00:00 AM,66.66
27Q319,VILLAGE ACADEMY,6/16/2022 12:00:00 AM,70.66
27Q323,SCHOLARS  ACADEMY,6/16/2022 12:00:00 AM,98.16
27Q333,GOLDIE MAPLE ACADEMY,6/16/2022 12:00:00 AM,76.16
27Q336,CURIOUS YOUNG LEARNERS PRE K CENTER,6/16/2022 12:00:00 AM,75.18
27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,85.37
27Q377,P.S. 377,6/16/2022 12:00:00 AM,86.02
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,6/16/2022 12:00:00 AM,77.80
28Q040,P.S. 040 SAMUEL HUNTINGTON,6/16/2022 12:00:00 AM,75.14
28Q048,DAVID N. DINKINS SCHOOL,6/16/2022 12:00:00 AM,77.16
28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,6/16/2022 12:00:00 AM,82.88
28Q054,P.S. 054 HILLSIDE,6/16/2022 12:00:00 AM,86.46
28Q055,P.S. 055 MAURE,6/16/2022 12:00:00 AM,84.75
28Q072,CATHERINE   COUNT BASIE MIDDLE SCHOOL 72,6/16/2022 12:00:00 AM,83.01
28Q080,PS 80  THE THURGOOD MARSHALL MAGNET SCHOOL OF MULT,6/16/2022 12:00:00 AM,80.48
28Q082,P.S. 082 HAMMOND,6/16/2022 12:00:00 AM,84.56
28Q086,P.S. Q086,6/16/2022 12:00:00 AM,84.97
28Q099,P.S. 099 KEW GARDENS,6/16/2022 12:00:00 AM,86.52
28Q101,P.S. 101 SCHOOL IN THE GARDENS,6/16/2022 12:00:00 AM,93.90
