SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/2/2022 12:00:00 AM,86.34
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIG",6/2/2022 12:00:00 AM,86.10
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,6/2/2022 12:00:00 AM,77.17
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,6/2/2022 12:00:00 AM,67.29
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,6/2/2022 12:00:00 AM,69.89
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,6/2/2022 12:00:00 AM,39.13
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,6/2/2022 12:00:00 AM,88.56
17K600,CLARA BARTON HIGH SCHOOL,6/2/2022 12:00:00 AM,75.20
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,6/2/2022 12:00:00 AM,50.37
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,6/2/2022 12:00:00 AM,93.58
17K722,NEW HEIGHTS MIDDLE SCHOOL,6/2/2022 12:00:00 AM,92.95
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,6/2/2022 12:00:00 AM,90.23
17K751,ACADEMY FOR HEALTH CAREERS,6/2/2022 12:00:00 AM,NS
17K770,P.S. 770 NEW AMERICAN ACADEMY,6/2/2022 12:00:00 AM,91.07
18K066,P.S. 66,6/2/2022 12:00:00 AM,90.43
18K068,I.S. 068 ISAAC BILDERSEE,6/2/2022 12:00:00 AM,86.58
18K114,P.S. 114 RYDER ELEMENTARY,6/2/2022 12:00:00 AM,92.23
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,6/2/2022 12:00:00 AM,90.48
18K135,P.S. 135 SHELDON A. BROOKNER,6/2/2022 12:00:00 AM,87.11
18K208,P.S. 208 ELSA EBELING,6/2/2022 12:00:00 AM,92.98
18K211,I.S. 211 JOHN WILSON,6/2/2022 12:00:00 AM,90.23
18K219,P.S. 219 KENNEDY KING,6/2/2022 12:00:00 AM,88.96
18K233,P.S. 233 LANGSTON HUGHES,6/2/2022 12:00:00 AM,88.92
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,6/2/2022 12:00:00 AM,90.00
18K244,P.S. 244 RICHARD R. GREEN,6/2/2022 12:00:00 AM,91.68
18K268,P.S. 268 EMMA LAZARUS,6/2/2022 12:00:00 AM,85.21
18K272,P.S. 272 CURTIS ESTABROOK,6/2/2022 12:00:00 AM,86.22
18K276,P.S. 276 LOUIS MARSHALL,6/2/2022 12:00:00 AM,91.73
18K279,P.S. 279 HERMAN SCHREIBER,6/2/2022 12:00:00 AM,91.30
18K285,I.S. 285 MEYER LEVIN,6/2/2022 12:00:00 AM,90.17
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,6/2/2022 12:00:00 AM,92.96
18K563,IT TAKES A VILLAGE ACADEMY,6/2/2022 12:00:00 AM,78.43
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,6/2/2022 12:00:00 AM,74.03
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,6/2/2022 12:00:00 AM,79.79
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,6/2/2022 12:00:00 AM,71.51
18K576,VICTORY COLLEGIATE HIGH SCHOOL,6/2/2022 12:00:00 AM,60.85
18K578,BROOKLYN BRIDGE ACADEMY,6/2/2022 12:00:00 AM,54.54
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",6/2/2022 12:00:00 AM,85.79
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,6/2/2022 12:00:00 AM,89.10
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,6/2/2022 12:00:00 AM,82.53
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6/2/2022 12:00:00 AM,89.62
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,6/2/2022 12:00:00 AM,78.01
18K635,OLYMPUS ACADEMY,6/2/2022 12:00:00 AM,45.98
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,6/2/2022 12:00:00 AM,66.66
18K642,URBAN ACTION ACADEMY,6/2/2022 12:00:00 AM,72.46
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,6/2/2022 12:00:00 AM,NS
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,6/2/2022 12:00:00 AM,93.25
19K007,P.S. 007 ABRAHAM LINCOLN,6/2/2022 12:00:00 AM,96.07
19K013,P.S. 013 ROBERTO CLEMENTE,6/2/2022 12:00:00 AM,86.75
19K065,P.S. 065,6/2/2022 12:00:00 AM,90.24
19K089,P.S. 089 CYPRESS HILLS,6/2/2022 12:00:00 AM,90.61
19K108,P.S. 108 SAL ABBRACCIAMENTO,6/2/2022 12:00:00 AM,92.24
19K149,P.S. 149 DANNY KAYE,6/2/2022 12:00:00 AM,92.63
19K158,P.S. 158 WARWICK,6/2/2022 12:00:00 AM,86.21
19K159,P.S. 159 ISAAC PITKIN,6/2/2022 12:00:00 AM,86.93
19K171,I.S. 171 ABRAHAM LINCOLN,6/2/2022 12:00:00 AM,93.20
19K190,P.S. 190 SHEFFIELD,6/2/2022 12:00:00 AM,84.84
19K202,P.S. 202 ERNEST S. JENKYNS,6/2/2022 12:00:00 AM,89.49
19K213,P.S. 213 NEW LOTS,6/2/2022 12:00:00 AM,83.33
19K214,P.S. 214 MICHAEL FRIEDSAM,6/2/2022 12:00:00 AM,91.84
19K218,J.H.S. 218 JAMES P. SINNOTT,6/2/2022 12:00:00 AM,83.28
19K224,P.S. 224 HALE A. WOODRUFF,6/2/2022 12:00:00 AM,80.27
19K273,P.S. 273 WORTMAN,6/2/2022 12:00:00 AM,83.11
19K290,P.S. 290 JUAN MOREL CAMPOS,6/2/2022 12:00:00 AM,90.45
19K292,J.H.S. 292 MARGARET S. DOUGLAS,6/2/2022 12:00:00 AM,84.42
19K306,P.S. 306 ETHAN ALLEN,6/2/2022 12:00:00 AM,87.54
