SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/24/2022 12:00:00 AM,80.90
01M015,P.S. 015 ROBERTO CLEMENTE,6/24/2022 12:00:00 AM,64.83
01M019,P.S. 019 ASHER LEVY,6/24/2022 12:00:00 AM,75.95
01M020,P.S. 020 ANNA SILVER,6/24/2022 12:00:00 AM,72.32
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6/24/2022 12:00:00 AM,64.39
01M063,THE STAR ACADEMY   P.S.63,6/24/2022 12:00:00 AM,85.56
01M064,P.S. 064 ROBERT SIMON,6/24/2022 12:00:00 AM,68.47
01M110,P.S. 110 FLORENCE NIGHTINGALE,6/24/2022 12:00:00 AM,79.36
01M134,P.S. 134 HENRIETTA SZOLD,6/24/2022 12:00:00 AM,63.12
01M140,P.S. 140 NATHAN STRAUS,6/24/2022 12:00:00 AM,70.12
01M142,P.S. 142 AMALIA CASTRO,6/24/2022 12:00:00 AM,60.73
01M184,P.S. 184M SHUANG WEN,6/24/2022 12:00:00 AM,94.46
01M188,P.S. 188 THE ISLAND SCHOOL,6/24/2022 12:00:00 AM,63.88
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,6/24/2022 12:00:00 AM,88.81
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6/24/2022 12:00:00 AM,57.52
01M361,THE CHILDREN S WORKSHOP SCHOOL,6/24/2022 12:00:00 AM,89.66
01M363,NEIGHBORHOOD SCHOOL,6/24/2022 12:00:00 AM,79.01
01M364,EARTH SCHOOL,6/24/2022 12:00:00 AM,84.81
01M378,SCHOOL FOR GLOBAL LEADERS,6/24/2022 12:00:00 AM,75.88
01M450,EAST SIDE COMMUNITY SCHOOL,6/24/2022 12:00:00 AM,100.00
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",6/24/2022 12:00:00 AM,87.57
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6/24/2022 12:00:00 AM,85.97
02M001,P.S. 001 ALFRED E. SMITH,6/24/2022 12:00:00 AM,80.47
02M002,P.S. 002 MEYER LONDON,6/24/2022 12:00:00 AM,91.94
