SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/10/2022 12:00:00 AM,82.09
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,6/10/2022 12:00:00 AM,74.29
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,6/10/2022 12:00:00 AM,67.19
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,6/10/2022 12:00:00 AM,52.28
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,6/10/2022 12:00:00 AM,37.68
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,6/10/2022 12:00:00 AM,85.19
17K600,CLARA BARTON HIGH SCHOOL,6/10/2022 12:00:00 AM,65.30
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,6/10/2022 12:00:00 AM,48.85
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,6/10/2022 12:00:00 AM,83.78
17K722,NEW HEIGHTS MIDDLE SCHOOL,6/10/2022 12:00:00 AM,89.67
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,6/10/2022 12:00:00 AM,89.62
17K751,ACADEMY FOR HEALTH CAREERS,6/10/2022 12:00:00 AM,59.24
17K770,P.S. 770 NEW AMERICAN ACADEMY,6/10/2022 12:00:00 AM,94.02
18K066,P.S. 66,6/10/2022 12:00:00 AM,86.89
18K068,I.S. 068 ISAAC BILDERSEE,6/10/2022 12:00:00 AM,80.95
18K114,P.S. 114 RYDER ELEMENTARY,6/10/2022 12:00:00 AM,83.42
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,6/10/2022 12:00:00 AM,89.20
18K135,P.S. 135 SHELDON A. BROOKNER,6/10/2022 12:00:00 AM,86.51
18K208,P.S. 208 ELSA EBELING,6/10/2022 12:00:00 AM,85.97
18K211,I.S. 211 JOHN WILSON,6/10/2022 12:00:00 AM,83.25
18K219,P.S. 219 KENNEDY KING,6/10/2022 12:00:00 AM,81.16
18K233,P.S. 233 LANGSTON HUGHES,6/10/2022 12:00:00 AM,84.42
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,6/10/2022 12:00:00 AM,84.16
18K244,P.S. 244 RICHARD R. GREEN,6/10/2022 12:00:00 AM,82.08
18K268,P.S. 268 EMMA LAZARUS,6/10/2022 12:00:00 AM,78.36
18K272,P.S. 272 CURTIS ESTABROOK,6/10/2022 12:00:00 AM,74.58
18K276,P.S. 276 LOUIS MARSHALL,6/10/2022 12:00:00 AM,81.76
18K279,P.S. 279 HERMAN SCHREIBER,6/10/2022 12:00:00 AM,82.90
18K285,I.S. 285 MEYER LEVIN,6/10/2022 12:00:00 AM,83.53
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,6/10/2022 12:00:00 AM,82.69
18K563,IT TAKES A VILLAGE ACADEMY,6/10/2022 12:00:00 AM,58.10
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,6/10/2022 12:00:00 AM,71.49
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,6/10/2022 12:00:00 AM,NS
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,6/10/2022 12:00:00 AM,71.51
18K576,VICTORY COLLEGIATE HIGH SCHOOL,6/10/2022 12:00:00 AM,77.87
18K578,BROOKLYN BRIDGE ACADEMY,6/10/2022 12:00:00 AM,45.45
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",6/10/2022 12:00:00 AM,85.20
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,6/10/2022 12:00:00 AM,82.46
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,6/10/2022 12:00:00 AM,74.60
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6/10/2022 12:00:00 AM,75.94
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,6/10/2022 12:00:00 AM,75.00
18K635,OLYMPUS ACADEMY,6/10/2022 12:00:00 AM,42.33
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,6/10/2022 12:00:00 AM,66.07
18K642,URBAN ACTION ACADEMY,6/10/2022 12:00:00 AM,72.46
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,6/10/2022 12:00:00 AM,35.86
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,6/10/2022 12:00:00 AM,91.17
19K007,P.S. 007 ABRAHAM LINCOLN,6/10/2022 12:00:00 AM,90.79
19K013,P.S. 013 ROBERTO CLEMENTE,6/10/2022 12:00:00 AM,84.40
19K065,P.S. 065,6/10/2022 12:00:00 AM,88.16
19K089,P.S. 089 CYPRESS HILLS,6/10/2022 12:00:00 AM,93.01
19K108,P.S. 108 SAL ABBRACCIAMENTO,6/10/2022 12:00:00 AM,87.40
19K149,P.S. 149 DANNY KAYE,6/10/2022 12:00:00 AM,84.21
19K158,P.S. 158 WARWICK,6/10/2022 12:00:00 AM,80.56
19K159,P.S. 159 ISAAC PITKIN,6/10/2022 12:00:00 AM,88.40
19K171,I.S. 171 ABRAHAM LINCOLN,6/10/2022 12:00:00 AM,86.40
19K190,P.S. 190 SHEFFIELD,6/10/2022 12:00:00 AM,78.78
19K202,P.S. 202 ERNEST S. JENKYNS,6/10/2022 12:00:00 AM,76.56
19K213,P.S. 213 NEW LOTS,6/10/2022 12:00:00 AM,80.18
19K214,P.S. 214 MICHAEL FRIEDSAM,6/10/2022 12:00:00 AM,86.95
19K218,J.H.S. 218 JAMES P. SINNOTT,6/10/2022 12:00:00 AM,74.84
19K224,P.S. 224 HALE A. WOODRUFF,6/10/2022 12:00:00 AM,77.21
19K273,P.S. 273 WORTMAN,6/10/2022 12:00:00 AM,79.54
19K290,P.S. 290 JUAN MOREL CAMPOS,6/10/2022 12:00:00 AM,84.88
19K292,J.H.S. 292 MARGARET S. DOUGLAS,6/10/2022 12:00:00 AM,69.49
19K306,P.S. 306 ETHAN ALLEN,6/10/2022 12:00:00 AM,84.52
19K325,THE FRESH CREEK SCHOOL,6/10/2022 12:00:00 AM,85.09
19K328,P.S. 328 PHYLLIS WHEATLEY,6/10/2022 12:00:00 AM,76.31
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,6/10/2022 12:00:00 AM,83.52
19K346,P.S. 346 ABE STARK,6/10/2022 12:00:00 AM,85.39
19K364,I.S. 364 GATEWAY,6/10/2022 12:00:00 AM,82.77
19K404,ACADEMY FOR YOUNG WRITERS,6/10/2022 12:00:00 AM,71.93
19K409,EAST NEW YORK FAMILY ACADEMY,6/10/2022 12:00:00 AM,73.32
19K422,SPRING CREEK COMMUNITY SCHOOL,6/10/2022 12:00:00 AM,77.54
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,6/10/2022 12:00:00 AM,91.16
19K502,FDNY   CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F,6/10/2022 12:00:00 AM,66.51
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,6/10/2022 12:00:00 AM,59.21
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,6/10/2022 12:00:00 AM,73.44
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,6/10/2022 12:00:00 AM,76.42
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,6/10/2022 12:00:00 AM,75.08
19K583,MULTICULTURAL HIGH SCHOOL,6/10/2022 12:00:00 AM,87.31
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,6/10/2022 12:00:00 AM,61.89
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,6/10/2022 12:00:00 AM,69.27
19K639,BROOKLYN LAB SCHOOL,6/10/2022 12:00:00 AM,67.59
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,6/10/2022 12:00:00 AM,80.89
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,6/10/2022 12:00:00 AM,59.21
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,6/10/2022 12:00:00 AM,55.49
19K661,VISTA ACADEMY,6/10/2022 12:00:00 AM,87.03
19K662,LIBERTY AVENUE MIDDLE SCHOOL,6/10/2022 12:00:00 AM,80.77
19K663,SCHOOL OF THE FUTURE BROOKLYN,6/10/2022 12:00:00 AM,87.62
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,6/10/2022 12:00:00 AM,82.61
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,6/10/2022 12:00:00 AM,60.25
19K683,SCHOOL FOR CLASSICS HIGH SCHOOL,6/10/2022 12:00:00 AM,66.40
19K760,HIGHLAND PARK COMMUNITY SCHOOL,6/10/2022 12:00:00 AM,84.40
19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,6/10/2022 12:00:00 AM,53.45
19K907,LEGACY SCHOOL OF THE ARTS,6/10/2022 12:00:00 AM,88.51
19K935,M.S. 935,6/10/2022 12:00:00 AM,93.54
19K938,P.S. 938,6/10/2022 12:00:00 AM,NS
19K953,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,6/10/2022 12:00:00 AM,69.65
20K030,P.S. I.S. 30 MARY WHITE OVINGTON,6/10/2022 12:00:00 AM,89.88
20K048,P.S. 048 MAPLETON,6/10/2022 12:00:00 AM,88.43
20K062,J.H.S. 062 DITMAS,6/10/2022 12:00:00 AM,89.59
20K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,6/10/2022 12:00:00 AM,97.84
20K102,P.S. 102 THE BAYVIEW,6/10/2022 12:00:00 AM,90.92
20K104,P.S. I.S. 104 THE FORT HAMILTON SCHOOL,6/10/2022 12:00:00 AM,90.90
20K105,P.S. 105 THE BLYTHEBOURNE,6/10/2022 12:00:00 AM,96.77
20K112,P.S. 112 LEFFERTS PARK,6/10/2022 12:00:00 AM,91.60
20K127,P.S. 127 MCKINLEY PARK,6/10/2022 12:00:00 AM,93.37
20K160,P.S. 160 WILLIAM T. SAMPSON,6/10/2022 12:00:00 AM,97.30
20K163,P.S. 163 BATH BEACH,6/10/2022 12:00:00 AM,90.56
20K164,P.S. 164 CAESAR RODNEY,6/10/2022 12:00:00 AM,92.47
20K170,RALPH A. FABRIZIO SCHOOL,6/10/2022 12:00:00 AM,91.42
20K176,P.S. 176 OVINGTON,6/10/2022 12:00:00 AM,96.20
20K179,P.S. 179 KENSINGTON,6/10/2022 12:00:00 AM,85.07
20K180,THE SEEALL ACADEMY,6/10/2022 12:00:00 AM,91.87
20K185,P.S. 185 WALTER KASSENBROCK,6/10/2022 12:00:00 AM,87.72
20K186,P.S. 186 DR. IRVING A GLADSTONE,6/10/2022 12:00:00 AM,92.53
20K187,THE CHRISTA MCAULIFFE SCHOOL I.S. 187,6/10/2022 12:00:00 AM,96.39
20K192,P.S. 192   THE MAGNET SCHOOL FOR MATH AND SCIENCE,6/10/2022 12:00:00 AM,86.61
20K200,P.S. 200 BENSON SCHOOL,6/10/2022 12:00:00 AM,87.51
20K201,J.H.S. 201 THE DYKER HEIGHTS,6/10/2022 12:00:00 AM,93.98
20K204,P.S. 204 VINCE LOMBARDI,6/10/2022 12:00:00 AM,94.80
20K205,P.S. 205 CLARION,6/10/2022 12:00:00 AM,92.26
20K220,J.H.S. 220 JOHN J. PERSHING,6/10/2022 12:00:00 AM,93.47
20K223,J.H.S. 223 THE MONTAUK,6/10/2022 12:00:00 AM,91.02
20K227,J.H.S. 227 EDWARD B. SHALLOW,6/10/2022 12:00:00 AM,91.41
20K229,P.S. 229 DYKER,6/10/2022 12:00:00 AM,91.93
20K247,P.S. 247 BROOKLYN,6/10/2022 12:00:00 AM,89.15
20K259,J.H.S. 259 WILLIAM MCKINLEY,6/10/2022 12:00:00 AM,94.28
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,6/10/2022 12:00:00 AM,88.31
20K310,THE SCHOOL FOR FUTURE LEADERS,6/10/2022 12:00:00 AM,95.42
20K445,NEW UTRECHT HIGH SCHOOL,6/10/2022 12:00:00 AM,72.63
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,6/10/2022 12:00:00 AM,78.08
20K490,FORT HAMILTON HIGH SCHOOL,6/10/2022 12:00:00 AM,82.05
20K503,P.S. 503: THE SCHOOL OF DISCOVERY,6/10/2022 12:00:00 AM,89.10
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,6/10/2022 12:00:00 AM,73.50
20K506,P.S. 506: THE SCHOOL OF JOURNALISM   TECHNOLOGY,6/10/2022 12:00:00 AM,89.62
20K609,URBAN ASSEMBLY SCHOOL FOR LEADERSHIP AND EMPOWERME,6/10/2022 12:00:00 AM,83.99
20K682,THE ACADEMY OF TALENTED SCHOLARS,6/10/2022 12:00:00 AM,90.88
20K686,BROOKLYN SCHOOL OF INQUIRY,6/10/2022 12:00:00 AM,89.91
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,6/10/2022 12:00:00 AM,91.59
20K768,DISTRICT 20 PRE K CENTER,6/10/2022 12:00:00 AM,80.35
20K936,MS 936 ARTS OFF 3RD,6/10/2022 12:00:00 AM,94.64
20K939,SUNSET SCHOOL OF CULTURAL LEARNING,6/10/2022 12:00:00 AM,93.75
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",6/10/2022 12:00:00 AM,91.37
21K090,P.S. 90 EDNA COHEN SCHOOL,6/10/2022 12:00:00 AM,84.97
21K095,P.S. 095 THE GRAVESEND,6/10/2022 12:00:00 AM,88.17
21K096,I.S. 096 SETH LOW,6/10/2022 12:00:00 AM,86.46
21K097,P.S. 97 THE HIGHLAWN,6/10/2022 12:00:00 AM,89.55
21K098,I.S. 98 BAY ACADEMY,6/10/2022 12:00:00 AM,90.50
21K099,P.S. 099 ISAAC ASIMOV,6/10/2022 12:00:00 AM,82.98
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,6/10/2022 12:00:00 AM,92.53
21K101,P.S. 101 THE VERRAZANO,6/10/2022 12:00:00 AM,94.04
21K121,P.S. 121 NELSON A. ROCKEFELLER,6/10/2022 12:00:00 AM,88.64
21K128,P.S. 128 BENSONHURST,6/10/2022 12:00:00 AM,90.24
21K153,P.S. 153 HOMECREST,6/10/2022 12:00:00 AM,87.06
21K177,P.S. 177 THE MARLBORO,6/10/2022 12:00:00 AM,87.75
21K188,P.S. 188 MICHAEL E. BERDY,6/10/2022 12:00:00 AM,44.01
21K199,P.S. 199 FREDERICK WACHTEL,6/10/2022 12:00:00 AM,86.57
21K209,P.S. 209 MARGARET MEAD,6/10/2022 12:00:00 AM,88.48
21K212,P.S. 212 LADY DEBORAH MOODY,6/10/2022 12:00:00 AM,88.98
21K215,P.S. 215 MORRIS H. WEISS,6/10/2022 12:00:00 AM,90.38
21K216,P.S. 216 ARTURO TOSCANINI,6/10/2022 12:00:00 AM,86.28
21K225,P.S. K225   THE EILEEN E. ZAGLIN,6/10/2022 12:00:00 AM,82.91
21K226,P.S. 226 ALFRED DE B. MASON,6/10/2022 12:00:00 AM,88.10
21K228,I.S. 228 DAVID A. BOODY,6/10/2022 12:00:00 AM,89.43
21K238,P.S. 238 ANNE SULLIVAN,6/10/2022 12:00:00 AM,86.10
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED   TALENTED,6/10/2022 12:00:00 AM,92.45
21K253,P.S. 253,6/10/2022 12:00:00 AM,88.66
21K281,I.S. 281 JOSEPH B CAVALLARO,6/10/2022 12:00:00 AM,84.79
21K288,P.S. 288 THE SHIRLEY TANYHILL,6/10/2022 12:00:00 AM,72.95
21K303,I.S. 303 HERBERT S. EISENBERG,6/10/2022 12:00:00 AM,84.93
21K329,P.S. 329 SURFSIDE,6/10/2022 12:00:00 AM,80.52
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,6/10/2022 12:00:00 AM,73.90
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,6/10/2022 12:00:00 AM,65.12
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,6/10/2022 12:00:00 AM,72.61
21K410,ABRAHAM LINCOLN HIGH SCHOOL,6/10/2022 12:00:00 AM,55.04
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,6/10/2022 12:00:00 AM,74.43
21K525,EDWARD R. MURROW HIGH SCHOOL,6/10/2022 12:00:00 AM,75.41
21K540,JOHN DEWEY HIGH SCHOOL,6/10/2022 12:00:00 AM,67.01
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,6/10/2022 12:00:00 AM,70.80
21K572,LEADERS HIGH SCHOOL,6/10/2022 12:00:00 AM,83.55
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,6/10/2022 12:00:00 AM,63.85
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,6/10/2022 12:00:00 AM,80.73
21K728,LIBERATION DIPLOMA PLUS,6/10/2022 12:00:00 AM,NS
21K840,BROOKLYN S DAILY DISCOVERY PRE K CENTER,6/10/2022 12:00:00 AM,84.31
22K014,J.H.S. 014 SHELL BANK,6/10/2022 12:00:00 AM,82.44
22K052,P.S. 052 SHEEPSHEAD BAY,6/10/2022 12:00:00 AM,79.88
22K078,J.H.S. 078 ROY H. MANN,6/10/2022 12:00:00 AM,83.91
22K109,P.S. 109,6/10/2022 12:00:00 AM,83.26
22K119,P.S. 119 AMERSFORT,6/10/2022 12:00:00 AM,87.93
22K134,P.S. K134,6/10/2022 12:00:00 AM,90.33
22K139,P.S. 139 ALEXINE A. FENTY,6/10/2022 12:00:00 AM,88.19
22K152,SCHOOL OF SCIENCE   TECHNOLOGY,6/10/2022 12:00:00 AM,84.86
22K193,P.S. 193 GIL HODGES,6/10/2022 12:00:00 AM,89.45
22K194,P.S. 194 RAOUL WALLENBERG,6/10/2022 12:00:00 AM,83.94
22K195,P.S. 195 MANHATTAN BEACH,6/10/2022 12:00:00 AM,88.99
22K197,P.S. 197   THE KINGS HIGHWAY ACADEMY,6/10/2022 12:00:00 AM,86.44
22K198,P.S. 198 BROOKLYN,6/10/2022 12:00:00 AM,80.26
22K203,P.S. 203 FLOYD BENNETT SCHOOL,6/10/2022 12:00:00 AM,82.35
22K206,P.S. 206 JOSEPH F LAMB,6/10/2022 12:00:00 AM,89.78
22K207,P.S. 207 ELIZABETH G. LEARY,6/10/2022 12:00:00 AM,90.54
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,6/10/2022 12:00:00 AM,87.18
22K222,P.S. 222 KATHERINE R. SNYDER,6/10/2022 12:00:00 AM,90.77
