SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,3/1/2022 12:00:00 AM,88.62
01M015,P.S. 015 ROBERTO CLEMENTE,3/1/2022 12:00:00 AM,91.06
01M019,P.S. 019 ASHER LEVY,3/1/2022 12:00:00 AM,89.61
01M020,P.S. 020 ANNA SILVER,3/1/2022 12:00:00 AM,88.63
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3/1/2022 12:00:00 AM,81.36
01M063,THE STAR ACADEMY   P.S.63,3/1/2022 12:00:00 AM,86.95
01M064,P.S. 064 ROBERT SIMON,3/1/2022 12:00:00 AM,85.23
01M110,P.S. 110 FLORENCE NIGHTINGALE,3/1/2022 12:00:00 AM,93.03
01M134,P.S. 134 HENRIETTA SZOLD,3/1/2022 12:00:00 AM,84.69
01M140,P.S. 140 NATHAN STRAUS,3/1/2022 12:00:00 AM,84.66
01M142,P.S. 142 AMALIA CASTRO,3/1/2022 12:00:00 AM,90.39
01M184,P.S. 184M SHUANG WEN,3/1/2022 12:00:00 AM,97.63
01M188,P.S. 188 THE ISLAND SCHOOL,3/1/2022 12:00:00 AM,84.42
01M292,ORCHARD COLLEGIATE ACADEMY,3/1/2022 12:00:00 AM,73.40
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3/1/2022 12:00:00 AM,92.88
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3/1/2022 12:00:00 AM,82.72
01M361,THE CHILDREN S WORKSHOP SCHOOL,3/1/2022 12:00:00 AM,93.86
01M363,NEIGHBORHOOD SCHOOL,3/1/2022 12:00:00 AM,91.39
01M364,EARTH SCHOOL,3/1/2022 12:00:00 AM,88.23
01M378,SCHOOL FOR GLOBAL LEADERS,3/1/2022 12:00:00 AM,85.79
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,3/1/2022 12:00:00 AM,80.85
01M450,EAST SIDE COMMUNITY SCHOOL,3/1/2022 12:00:00 AM,99.85
01M458,FORSYTH SATELLITE ACADEMY,3/1/2022 12:00:00 AM,52.71
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,3/1/2022 12:00:00 AM,100.00
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",3/1/2022 12:00:00 AM,93.48
01M650,CASCADES HIGH SCHOOL,3/1/2022 12:00:00 AM,32.25
01M696,BARD HIGH SCHOOL EARLY COLLEGE,3/1/2022 12:00:00 AM,91.39
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,3/1/2022 12:00:00 AM,91.10
02M001,P.S. 001 ALFRED E. SMITH,3/1/2022 12:00:00 AM,90.56
02M002,P.S. 002 MEYER LONDON,3/1/2022 12:00:00 AM,95.51
02M003,P.S. 003 CHARRETTE SCHOOL,3/1/2022 12:00:00 AM,94.01
02M006,P.S. 006 LILLIE D. BLAKE,3/1/2022 12:00:00 AM,93.00
02M011,P.S. 011 WILLIAM T. HARRIS,3/1/2022 12:00:00 AM,96.04
