SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/1/2022 12:00:00 AM,86.16
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,6/1/2022 12:00:00 AM,80.60
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,6/1/2022 12:00:00 AM,65.18
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,6/1/2022 12:00:00 AM,NS
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,6/1/2022 12:00:00 AM,34.21
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,6/1/2022 12:00:00 AM,88.87
17K600,CLARA BARTON HIGH SCHOOL,6/1/2022 12:00:00 AM,71.50
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,6/1/2022 12:00:00 AM,43.70
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,6/1/2022 12:00:00 AM,94.59
17K722,NEW HEIGHTS MIDDLE SCHOOL,6/1/2022 12:00:00 AM,97.65
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,6/1/2022 12:00:00 AM,78.90
17K751,ACADEMY FOR HEALTH CAREERS,6/1/2022 12:00:00 AM,80.57
17K770,P.S. 770 NEW AMERICAN ACADEMY,6/1/2022 12:00:00 AM,88.19
18K066,P.S. 66,6/1/2022 12:00:00 AM,90.77
18K068,I.S. 068 ISAAC BILDERSEE,6/1/2022 12:00:00 AM,85.28
18K114,P.S. 114 RYDER ELEMENTARY,6/1/2022 12:00:00 AM,91.57
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,6/1/2022 12:00:00 AM,89.33
18K135,P.S. 135 SHELDON A. BROOKNER,6/1/2022 12:00:00 AM,93.15
18K208,P.S. 208 ELSA EBELING,6/1/2022 12:00:00 AM,93.35
18K211,I.S. 211 JOHN WILSON,6/1/2022 12:00:00 AM,89.81
18K219,P.S. 219 KENNEDY KING,6/1/2022 12:00:00 AM,88.96
18K233,P.S. 233 LANGSTON HUGHES,6/1/2022 12:00:00 AM,89.96
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,6/1/2022 12:00:00 AM,86.61
18K244,P.S. 244 RICHARD R. GREEN,6/1/2022 12:00:00 AM,90.88
18K268,P.S. 268 EMMA LAZARUS,6/1/2022 12:00:00 AM,87.93
18K272,P.S. 272 CURTIS ESTABROOK,6/1/2022 12:00:00 AM,82.92
18K276,P.S. 276 LOUIS MARSHALL,6/1/2022 12:00:00 AM,90.66
18K279,P.S. 279 HERMAN SCHREIBER,6/1/2022 12:00:00 AM,90.24
18K285,I.S. 285 MEYER LEVIN,6/1/2022 12:00:00 AM,86.85
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,6/1/2022 12:00:00 AM,83.66
18K563,IT TAKES A VILLAGE ACADEMY,6/1/2022 12:00:00 AM,69.54
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,6/1/2022 12:00:00 AM,70.67
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,6/1/2022 12:00:00 AM,78.75
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,6/1/2022 12:00:00 AM,71.51
18K576,VICTORY COLLEGIATE HIGH SCHOOL,6/1/2022 12:00:00 AM,78.38
18K578,BROOKLYN BRIDGE ACADEMY,6/1/2022 12:00:00 AM,55.63
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",6/1/2022 12:00:00 AM,92.89
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,6/1/2022 12:00:00 AM,91.02
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,6/1/2022 12:00:00 AM,62.69
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6/1/2022 12:00:00 AM,81.60
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,6/1/2022 12:00:00 AM,76.35
18K635,OLYMPUS ACADEMY,6/1/2022 12:00:00 AM,47.44
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,6/1/2022 12:00:00 AM,73.74
18K642,URBAN ACTION ACADEMY,6/1/2022 12:00:00 AM,71.01
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,6/1/2022 12:00:00 AM,51.40
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,6/1/2022 12:00:00 AM,92.37
19K007,P.S. 007 ABRAHAM LINCOLN,6/1/2022 12:00:00 AM,92.59
19K013,P.S. 013 ROBERTO CLEMENTE,6/1/2022 12:00:00 AM,88.83
19K065,P.S. 065,6/1/2022 12:00:00 AM,90.65
19K089,P.S. 089 CYPRESS HILLS,6/1/2022 12:00:00 AM,91.48
19K108,P.S. 108 SAL ABBRACCIAMENTO,6/1/2022 12:00:00 AM,93.42
19K149,P.S. 149 DANNY KAYE,6/1/2022 12:00:00 AM,90.45
19K158,P.S. 158 WARWICK,6/1/2022 12:00:00 AM,85.08
19K159,P.S. 159 ISAAC PITKIN,6/1/2022 12:00:00 AM,88.95
19K171,I.S. 171 ABRAHAM LINCOLN,6/1/2022 12:00:00 AM,90.61
19K190,P.S. 190 SHEFFIELD,6/1/2022 12:00:00 AM,90.15
19K202,P.S. 202 ERNEST S. JENKYNS,6/1/2022 12:00:00 AM,84.82
19K213,P.S. 213 NEW LOTS,6/1/2022 12:00:00 AM,84.82
19K214,P.S. 214 MICHAEL FRIEDSAM,6/1/2022 12:00:00 AM,91.75
19K218,J.H.S. 218 JAMES P. SINNOTT,6/1/2022 12:00:00 AM,81.79
19K224,P.S. 224 HALE A. WOODRUFF,6/1/2022 12:00:00 AM,84.69
19K273,P.S. 273 WORTMAN,6/1/2022 12:00:00 AM,91.55
19K290,P.S. 290 JUAN MOREL CAMPOS,6/1/2022 12:00:00 AM,92.04
19K292,J.H.S. 292 MARGARET S. DOUGLAS,6/1/2022 12:00:00 AM,82.96
19K306,P.S. 306 ETHAN ALLEN,6/1/2022 12:00:00 AM,84.52
19K325,THE FRESH CREEK SCHOOL,6/1/2022 12:00:00 AM,90.68
19K328,P.S. 328 PHYLLIS WHEATLEY,6/1/2022 12:00:00 AM,78.94
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,6/1/2022 12:00:00 AM,88.51
19K346,P.S. 346 ABE STARK,6/1/2022 12:00:00 AM,85.39
19K364,I.S. 364 GATEWAY,6/1/2022 12:00:00 AM,85.55
19K404,ACADEMY FOR YOUNG WRITERS,6/1/2022 12:00:00 AM,62.84
19K409,EAST NEW YORK FAMILY ACADEMY,6/1/2022 12:00:00 AM,83.75
19K422,SPRING CREEK COMMUNITY SCHOOL,6/1/2022 12:00:00 AM,69.19
