SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,5/12/2022 12:00:00 AM,86.12
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,5/12/2022 12:00:00 AM,82.31
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,5/12/2022 12:00:00 AM,85.44
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,5/12/2022 12:00:00 AM,80.99
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,5/12/2022 12:00:00 AM,NS
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,5/12/2022 12:00:00 AM,88.03
17K600,CLARA BARTON HIGH SCHOOL,5/12/2022 12:00:00 AM,72.85
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,5/12/2022 12:00:00 AM,41.79
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,5/12/2022 12:00:00 AM,84.79
17K722,NEW HEIGHTS MIDDLE SCHOOL,5/12/2022 12:00:00 AM,96.24
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,5/12/2022 12:00:00 AM,87.69
17K751,ACADEMY FOR HEALTH CAREERS,5/12/2022 12:00:00 AM,69.00
17K770,P.S. 770 NEW AMERICAN ACADEMY,5/12/2022 12:00:00 AM,89.19
18K066,P.S. 66,5/12/2022 12:00:00 AM,91.09
18K068,I.S. 068 ISAAC BILDERSEE,5/12/2022 12:00:00 AM,88.26
18K114,P.S. 114 RYDER ELEMENTARY,5/12/2022 12:00:00 AM,85.48
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,5/12/2022 12:00:00 AM,91.39
18K135,P.S. 135 SHELDON A. BROOKNER,5/12/2022 12:00:00 AM,90.22
18K208,P.S. 208 ELSA EBELING,5/12/2022 12:00:00 AM,88.92
18K211,I.S. 211 JOHN WILSON,5/12/2022 12:00:00 AM,90.27
18K219,P.S. 219 KENNEDY KING,5/12/2022 12:00:00 AM,88.06
18K233,P.S. 233 LANGSTON HUGHES,5/12/2022 12:00:00 AM,89.65
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,5/12/2022 12:00:00 AM,87.42
18K244,P.S. 244 RICHARD R. GREEN,5/12/2022 12:00:00 AM,86.63
18K268,P.S. 268 EMMA LAZARUS,5/12/2022 12:00:00 AM,92.54
18K272,P.S. 272 CURTIS ESTABROOK,5/12/2022 12:00:00 AM,87.08
18K276,P.S. 276 LOUIS MARSHALL,5/12/2022 12:00:00 AM,88.08
18K279,P.S. 279 HERMAN SCHREIBER,5/12/2022 12:00:00 AM,90.57
18K285,I.S. 285 MEYER LEVIN,5/12/2022 12:00:00 AM,89.46
