SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,6/3/2022 12:00:00 AM,84.05
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIG",6/3/2022 12:00:00 AM,83.84
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,6/3/2022 12:00:00 AM,95.95
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,6/3/2022 12:00:00 AM,69.81
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,6/3/2022 12:00:00 AM,71.23
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,6/3/2022 12:00:00 AM,33.33
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,6/3/2022 12:00:00 AM,85.02
17K600,CLARA BARTON HIGH SCHOOL,6/3/2022 12:00:00 AM,72.63
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,6/3/2022 12:00:00 AM,42.22
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,6/3/2022 12:00:00 AM,92.90
17K722,NEW HEIGHTS MIDDLE SCHOOL,6/3/2022 12:00:00 AM,95.30
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,6/3/2022 12:00:00 AM,87.69
17K751,ACADEMY FOR HEALTH CAREERS,6/3/2022 12:00:00 AM,52.77
17K770,P.S. 770 NEW AMERICAN ACADEMY,6/3/2022 12:00:00 AM,89.93
18K066,P.S. 66,6/3/2022 12:00:00 AM,89.59
18K068,I.S. 068 ISAAC BILDERSEE,6/3/2022 12:00:00 AM,84.54
18K114,P.S. 114 RYDER ELEMENTARY,6/3/2022 12:00:00 AM,94.20
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,6/3/2022 12:00:00 AM,86.37
18K135,P.S. 135 SHELDON A. BROOKNER,6/3/2022 12:00:00 AM,84.03
18K208,P.S. 208 ELSA EBELING,6/3/2022 12:00:00 AM,91.51
18K211,I.S. 211 JOHN WILSON,6/3/2022 12:00:00 AM,82.32
18K219,P.S. 219 KENNEDY KING,6/3/2022 12:00:00 AM,86.03
18K233,P.S. 233 LANGSTON HUGHES,6/3/2022 12:00:00 AM,86.85
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,6/3/2022 12:00:00 AM,86.93
18K244,P.S. 244 RICHARD R. GREEN,6/3/2022 12:00:00 AM,89.83
18K268,P.S. 268 EMMA LAZARUS,6/3/2022 12:00:00 AM,87.40
18K272,P.S. 272 CURTIS ESTABROOK,6/3/2022 12:00:00 AM,83.47
18K276,P.S. 276 LOUIS MARSHALL,6/3/2022 12:00:00 AM,88.23
18K279,P.S. 279 HERMAN SCHREIBER,6/3/2022 12:00:00 AM,92.75
18K285,I.S. 285 MEYER LEVIN,6/3/2022 12:00:00 AM,85.68
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,6/3/2022 12:00:00 AM,90.08
18K563,IT TAKES A VILLAGE ACADEMY,6/3/2022 12:00:00 AM,63.07
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,6/3/2022 12:00:00 AM,74.51
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,6/3/2022 12:00:00 AM,66.83
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,6/3/2022 12:00:00 AM,66.45
18K576,VICTORY COLLEGIATE HIGH SCHOOL,6/3/2022 12:00:00 AM,69.06
18K578,BROOKLYN BRIDGE ACADEMY,6/3/2022 12:00:00 AM,48.25
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",6/3/2022 12:00:00 AM,85.79
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,6/3/2022 12:00:00 AM,83.87
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,6/3/2022 12:00:00 AM,77.38
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6/3/2022 12:00:00 AM,84.90
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,6/3/2022 12:00:00 AM,70.61
18K635,OLYMPUS ACADEMY,6/3/2022 12:00:00 AM,48.90
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,6/3/2022 12:00:00 AM,62.24
18K642,URBAN ACTION ACADEMY,6/3/2022 12:00:00 AM,57.24
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,6/3/2022 12:00:00 AM,49.29
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,6/3/2022 12:00:00 AM,91.78
19K007,P.S. 007 ABRAHAM LINCOLN,6/3/2022 12:00:00 AM,92.30
19K013,P.S. 013 ROBERTO CLEMENTE,6/3/2022 12:00:00 AM,89.01
19K065,P.S. 065,6/3/2022 12:00:00 AM,89.79
19K089,P.S. 089 CYPRESS HILLS,6/3/2022 12:00:00 AM,90.82
19K108,P.S. 108 SAL ABBRACCIAMENTO,6/3/2022 12:00:00 AM,90.67
19K149,P.S. 149 DANNY KAYE,6/3/2022 12:00:00 AM,86.94
19K158,P.S. 158 WARWICK,6/3/2022 12:00:00 AM,85.71
19K159,P.S. 159 ISAAC PITKIN,6/3/2022 12:00:00 AM,89.13
19K171,I.S. 171 ABRAHAM LINCOLN,6/3/2022 12:00:00 AM,91.58
19K190,P.S. 190 SHEFFIELD,6/3/2022 12:00:00 AM,81.81
19K202,P.S. 202 ERNEST S. JENKYNS,6/3/2022 12:00:00 AM,80.93
19K213,P.S. 213 NEW LOTS,6/3/2022 12:00:00 AM,80.18
19K214,P.S. 214 MICHAEL FRIEDSAM,6/3/2022 12:00:00 AM,90.90
19K218,J.H.S. 218 JAMES P. SINNOTT,6/3/2022 12:00:00 AM,72.58
19K224,P.S. 224 HALE A. WOODRUFF,6/3/2022 12:00:00 AM,82.19
19K273,P.S. 273 WORTMAN,6/3/2022 12:00:00 AM,78.24
19K290,P.S. 290 JUAN MOREL CAMPOS,6/3/2022 12:00:00 AM,88.59
19K292,J.H.S. 292 MARGARET S. DOUGLAS,6/3/2022 12:00:00 AM,75.66
19K306,P.S. 306 ETHAN ALLEN,6/3/2022 12:00:00 AM,81.50
19K325,THE FRESH CREEK SCHOOL,6/3/2022 12:00:00 AM,92.54
19K328,P.S. 328 PHYLLIS WHEATLEY,6/3/2022 12:00:00 AM,80.45
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,6/3/2022 12:00:00 AM,85.66
19K346,P.S. 346 ABE STARK,6/3/2022 12:00:00 AM,83.37
