SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,3/2/2022 12:00:00 AM,89.19
01M015,P.S. 015 ROBERTO CLEMENTE,3/2/2022 12:00:00 AM,89.94
01M019,P.S. 019 ASHER LEVY,3/2/2022 12:00:00 AM,95.08
01M020,P.S. 020 ANNA SILVER,3/2/2022 12:00:00 AM,91.42
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3/2/2022 12:00:00 AM,83.58
01M063,THE STAR ACADEMY   P.S.63,3/2/2022 12:00:00 AM,94.56
01M064,P.S. 064 ROBERT SIMON,3/2/2022 12:00:00 AM,87.50
01M110,P.S. 110 FLORENCE NIGHTINGALE,3/2/2022 12:00:00 AM,92.67
01M134,P.S. 134 HENRIETTA SZOLD,3/2/2022 12:00:00 AM,87.84
01M140,P.S. 140 NATHAN STRAUS,3/2/2022 12:00:00 AM,87.90
01M142,P.S. 142 AMALIA CASTRO,3/2/2022 12:00:00 AM,89.58
01M184,P.S. 184M SHUANG WEN,3/2/2022 12:00:00 AM,97.08
01M188,P.S. 188 THE ISLAND SCHOOL,3/2/2022 12:00:00 AM,84.17
01M292,ORCHARD COLLEGIATE ACADEMY,3/2/2022 12:00:00 AM,78.01
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3/2/2022 12:00:00 AM,93.52
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3/2/2022 12:00:00 AM,90.00
01M361,THE CHILDREN S WORKSHOP SCHOOL,3/2/2022 12:00:00 AM,94.22
01M363,NEIGHBORHOOD SCHOOL,3/2/2022 12:00:00 AM,91.39
01M364,EARTH SCHOOL,3/2/2022 12:00:00 AM,92.85
01M378,SCHOOL FOR GLOBAL LEADERS,3/2/2022 12:00:00 AM,91.12
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,3/2/2022 12:00:00 AM,83.95
01M450,EAST SIDE COMMUNITY SCHOOL,3/2/2022 12:00:00 AM,99.85
01M458,FORSYTH SATELLITE ACADEMY,3/2/2022 12:00:00 AM,48.41
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,3/2/2022 12:00:00 AM,68.17
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",3/2/2022 12:00:00 AM,93.91
01M650,CASCADES HIGH SCHOOL,3/2/2022 12:00:00 AM,36.29
01M696,BARD HIGH SCHOOL EARLY COLLEGE,3/2/2022 12:00:00 AM,89.73
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,3/2/2022 12:00:00 AM,94.17
02M001,P.S. 001 ALFRED E. SMITH,3/2/2022 12:00:00 AM,90.09
02M002,P.S. 002 MEYER LONDON,3/2/2022 12:00:00 AM,94.39
02M003,P.S. 003 CHARRETTE SCHOOL,3/2/2022 12:00:00 AM,NS
02M006,P.S. 006 LILLIE D. BLAKE,3/2/2022 12:00:00 AM,95.97
02M011,P.S. 011 WILLIAM T. HARRIS,3/2/2022 12:00:00 AM,95.09
02M033,P.S. 033 CHELSEA PREP,3/2/2022 12:00:00 AM,95.23
02M040,P.S. 040 AUGUSTUS SAINT GAUDENS,3/2/2022 12:00:00 AM,97.66
02M041,P.S. 041 GREENWICH VILLAGE,3/2/2022 12:00:00 AM,94.91
02M042,P.S. 042 BENJAMIN ALTMAN,3/2/2022 12:00:00 AM,96.36
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,3/2/2022 12:00:00 AM,83.26
02M051,P.S. 051 ELIAS HOWE,3/2/2022 12:00:00 AM,90.97
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,3/2/2022 12:00:00 AM,94.36
02M077,P.S. 77 LOWER LAB SCHOOL,3/2/2022 12:00:00 AM,96.53
02M089,P.S. 89,3/2/2022 12:00:00 AM,94.39
02M104,J.H.S. 104 SIMON BARUCH,3/2/2022 12:00:00 AM,95.58
02M111,P.S. 111 ADOLPH S. OCHS,3/2/2022 12:00:00 AM,94.86
02M114,EAST SIDE MIDDLE SCHOOL,3/2/2022 12:00:00 AM,96.65
02M116,P.S. 116 MARY LINDLEY MURRAY,3/2/2022 12:00:00 AM,92.65
02M124,P.S. 124 YUNG WING,3/2/2022 12:00:00 AM,98.64
02M126,P.S. 126 JACOB AUGUST RIIS,3/2/2022 12:00:00 AM,97.14
02M130,P.S. 130 HERNANDO DE SOTO,3/2/2022 12:00:00 AM,98.28
02M131,M.S. 131,3/2/2022 12:00:00 AM,97.33
