SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,3/22/2022 12:00:00 AM,88.70
01M015,P.S. 015 ROBERTO CLEMENTE,3/22/2022 12:00:00 AM,89.56
01M019,P.S. 019 ASHER LEVY,3/22/2022 12:00:00 AM,95.10
01M020,P.S. 020 ANNA SILVER,3/22/2022 12:00:00 AM,88.49
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3/22/2022 12:00:00 AM,83.77
01M063,THE STAR ACADEMY   P.S.63,3/22/2022 12:00:00 AM,90.10
01M064,P.S. 064 ROBERT SIMON,3/22/2022 12:00:00 AM,81.25
01M110,P.S. 110 FLORENCE NIGHTINGALE,3/22/2022 12:00:00 AM,93.26
01M134,P.S. 134 HENRIETTA SZOLD,3/22/2022 12:00:00 AM,91.66
01M140,P.S. 140 NATHAN STRAUS,3/22/2022 12:00:00 AM,88.35
01M142,P.S. 142 AMALIA CASTRO,3/22/2022 12:00:00 AM,86.30
01M184,P.S. 184M SHUANG WEN,3/22/2022 12:00:00 AM,97.77
01M188,P.S. 188 THE ISLAND SCHOOL,3/22/2022 12:00:00 AM,86.11
01M292,ORCHARD COLLEGIATE ACADEMY,3/22/2022 12:00:00 AM,75.61
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3/22/2022 12:00:00 AM,93.85
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3/22/2022 12:00:00 AM,87.95
01M361,THE CHILDREN S WORKSHOP SCHOOL,3/22/2022 12:00:00 AM,93.09
01M363,NEIGHBORHOOD SCHOOL,3/22/2022 12:00:00 AM,93.00
01M364,EARTH SCHOOL,3/22/2022 12:00:00 AM,91.62
01M378,SCHOOL FOR GLOBAL LEADERS,3/22/2022 12:00:00 AM,87.86
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,3/22/2022 12:00:00 AM,82.48
01M450,EAST SIDE COMMUNITY SCHOOL,3/22/2022 12:00:00 AM,99.85
01M458,FORSYTH SATELLITE ACADEMY,3/22/2022 12:00:00 AM,64.61
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,3/22/2022 12:00:00 AM,69.49
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",3/22/2022 12:00:00 AM,94.17
01M650,CASCADES HIGH SCHOOL,3/22/2022 12:00:00 AM,34.74
01M696,BARD HIGH SCHOOL EARLY COLLEGE,3/22/2022 12:00:00 AM,89.29
